SR. NO,headline,type,Post_url,post_day,post_date,activity_type,video_length(Mins),Feautured Himself Or Not,tags_used,post_comments,influencer_comments,hashtags_used,repost,likes,cl_post_time
1.0,7 Lessons for Possibility & Creative Majesty,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7193233118416257024-k9Mk?utm_source=share&utm_medium=member_desktop,Mon,2024-05-06,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,17.0,7.0,none,3.0,64.0,13:00:19
3.0,Launch Of Book THE WEALTH MONEY CANT BUY,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7192905622793666561-mxtA?utm_source=share&utm_medium=member_desktop,Tue,2024-04-30,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#robinsharma,26.0,5.0,none,1.0,179.0,13:00:13
4.0,Practices become practices by practicing them.,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_i-humbly-and-sincerely-thank-each-and-everyone-activity-7191058766123970562-9lUB?utm_source=share&utm_medium=member_desktop,Sun,2024-05-05,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,15.0,7.0,none,5.0,113.0,15:18:58
5.0,Fear is a giant liar. And doubt is a violent thief,PRE-ORDER BOOK  “The Wealth Money Can´t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7192508268521377793-0arT?utm_source=share&utm_medium=member_desktop,Sat,2024-05-04,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#thewealthmoneycantbuy,16.0,1.0,none,4.0,116.0,13:00:01
6.0,"As you visit your limits, your limits would expand",MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7192145891649048576-mQ3E?utm_source=share&utm_medium=member_desktop,Fri,2024-05-03,IMAGE POST,0.0,NO,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#robinsharma,23.0,1.0,none,7.0,131.0,13:00:04
7.0,Could you imagine just going dark for a year? Or maybe a month? Or maybe just for a week?,Motivation,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7191783239005491200-bNJt?utm_source=share&utm_medium=member_desktop,Thur,2024-05-02,VIDEO,57.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#thewealthmoneycantbuy,18.0,4.0,none,7.0,94.0,12:59:01
8.0,ABOUT FEAR,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7190696331546382336-2eC7?utm_source=share&utm_medium=member_desktop,Mon,2024-04-29,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,20.0,5.0,none,9.0,146.0,13:00:02
9.0,You’ll never rise any higher than your self-identity,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7190405368177459201-dBTa?utm_source=share&utm_medium=member_desktop,Sun,2024-04-28,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#thewealthmoneycantbuy,22.0,0.0,none,12.0,189.0,17:43:51
10.0,Send this to someone who needs to see this today ,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7193595475202125824--b1p?utm_source=share&utm_medium=member_desktop,Tue,2024-05-07,VIDEO,57.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#thewealthmoneycantbuy,7.0,4.0,none,4.0,45.0,13:00:11
11.0,Shaquille O'Neal is someone I really look up to as an athlete. Who do YOU look up to?,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_shaquille-oneal-is-someone-i-really-look-activity-7189971548382879744-eJvs?utm_source=share&utm_medium=member_desktop,Sat,2024-04-27,IMAGE POST,0.0,YES,,15.0,0.0,none,3.0,159.0,13:00:00
12.0,What hurts us can help us,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7189609211155156992-q10s?utm_source=share&utm_medium=member_desktop,Fri,2024-04-26,VIDEO,80.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#thewealthmoneycantbuy,18.0,4.0,none,5.0,113.0,13:00:12
13.0,Living the noble virtues,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7189246851445837824-dbiP?utm_source=share&utm_medium=member_desktop,Thu,2024-04-25,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#wmcb hashtag#thewealthmoneycantbuy,42.0,6.0,none,5.0,135.0,13:00:19
14.0,Be successful first as a human being,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7188703196360421376-qzbK?utm_source=share&utm_medium=member_desktop,Wed,2024-04-24,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#wmcb hashtag#thewealthmoneycantbuy,32.0,7.0,none,5.0,117.0,01:00:01
15.0,simple thoughts on what makes a TRULY successful life,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7188524268794654720-RP-b?utm_source=share&utm_medium=member_desktop,Tue,2024-04-23,IMAGE POST,0.0,NO,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma,56.0,1.0,none,9.0,319.0,13:09:02
16.0,There can be no success without failure,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_there-can-be-no-success-without-failure-activity-7188159678479052800-3i8L?utm_source=share&utm_medium=member_desktop,Mon,2024-04-22,VIDEO,79.0,YES,,47.0,7.0,none,13.0,280.0,13:00:16
17.0,Global book tour,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_special-announcement-for-all-my-uk-readers-activity-7187434837983604736-HgFV?utm_source=share&utm_medium=member_desktop,Sat,2024-04-20,IMAGE POST,0.0,YES,,15.0,0.0,none,0.0,93.0,13:00:01
18.0,“The Wealth Money Can’t Buy” debuted on The New York Times bestsellers list,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_im-coming-to-prague-on-april-18th-to-luxor-activity-7186610062281355264-Fyu2?utm_source=share&utm_medium=member_desktop,Fri,2024-04-19,IMAGE POST,0.0,NO,,41.0,6.0,none,4.0,369.0,13:00:13
19.0,Iterview with Ismael Cala,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_ismael-cala-just-did-a-wow-interview-in-the-activity-7186347169367367680-m53h?utm_source=share&utm_medium=member_desktop,Wed,2024-04-17,IMAGE POST,0.0,YES,,9.0,3.0,none,0.0,54.0,12:58:01
20.0,Book tour life “The Wealth Money Can’t Buy” ,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_book-tour-life-ill-slow-down-in-may-thank-activity-7185985033097158656-33Kg?utm_source=share&utm_medium=member_desktop,Tue,2024-04-16,VIDEO,32.0,YES,,16.0,5.0,none,1.0,115.0,12:59:01
